playername,timeplayed,gamesplayed,errors,RMSE,a,b,c
0032768,983,1350,[],12.293376778723617,-8.336223924255907e-06,5.618664368720511,-226.2365031090365
00raiser,947,824,[],8.00766946592104,-0.0029387960715319223,3.1309386322865103,43.062478040107194
05n1,1012,1387,[],6.767771946044623,-0.007927265553885366,4.370970732494088,48.742050314605294
0e4ef622,937,2049,[],27.608543758750702,-0.005357731899813613,4.248837824745074,64.76109537280806
0kaikami0,1543,8975,[],10.185037265590642,-0.008967101915274863,4.012684553630788,35.58311458008898
0RIG1N,1218,4462,[],13.6181357192492,-0.001714335981034912,4.388944452017026,16.961163533171643
0_1,334,233,[],10.378865473520149,1.6545620535450103e-05,6.9237003574969735,-961.3012184257453
1021839,1470,2567,[],16.94634491003298,-0.012883838670919174,4.688725758321187,43.866144348665266
1081p,1282,374,[],7.4149057573874995,-0.005516777172495631,3.5811505206173355,27.017587843248094
11brendon,1051,1922,[],10.567861501402062,-0.01066464119586821,4.557754975664008,45.068286639444196
123fatkid321,724,1523,[],5.609301882256217,-1.1840410978297665e-05,6.3113477544203285,-498.0755610370782
124san,767,1035,[],5.317810922260863,-0.010629770395826785,3.307031204698055,37.51291693745249
13pake,842,4838,[],19.75835284980033,-0.0027771576264769993,3.7644530200078727,42.72662001593933
14driller,894,1894,[],10.636473715990407,-0.021973225512845206,1.9964052125142397,57.050948788923755
1612891990,797,2687,[],18.322276735119022,-0.00196079686578955,3.6309243488949865,27.06618018039845
198,335,1279,[],18.299688045448235,-0.00015248400467704606,6.52077007027692,-600.9941975582844
1kakeru1,462,445,[],16.55474725084673,-0.01095109963929012,4.017726816823202,49.06827956855053
1MBLITZWHEN,31,248,[],3.1385143655195984,-0.14594611117418435,2.0829816060863613,34.52624587762817
1ouch,492,885,[],16.93355068788756,0.0026994699387207373,0.5374329396238303,54.397190344307674
1set,63,305,[],2.016677229674347,-0.010526964576339896,2.0037802074257436,33.32568938386283
20-XX,637,1101,[],2.667987939600285,-8.098350317371065e-06,6.1487255204892,-433.93538842893213
20210126,456,319,[],15.160000230329613,-0.016178939225701513,3.415795791795093,53.30429463286002
202248SD,1244,851,[],11.61209279126235,-9.944040697120551e-05,6.194116315692368,-397.44881906120804
20938839475,1517,3945,[],7.667045520357614,-0.0030895577656690717,2.1381055378071157,37.57640107751544
25Pi25,1254,435,[],13.739787513716994,-0.0003040038317341942,5.347494659783021,-121.3726236631238
28nm,1022,784,[],13.463335366679452,1.0662522810141778e-05,6.930560494041037,-969.6813771342621
2Q7T,191,642,[],9.590643211781765,7.419808146078102e-05,4.966098817422149,-97.77193710667915
2thewinter,1236,1172,[],5.029101643731933,-0.002838240758423061,2.8433128441833024,45.46489912719707
2treecko,1644,3511,[],9.885502087340356,-0.0026184922189647114,4.759057333391559,34.17683848222977
2weak2slow,273,397,[],5.765973391998371,-0.004483245132766699,2.3086566791146383,35.64202601330238
2등은자신있음,340,520,[],7.649663193037512,-0.0014688676525699265,2.483348198685736,45.863751799381944
365pen,632,280,[],19.584585246317072,-4.864685935607363e-05,6.981553835692072,-999.9992987655388
3kawaii5uwu,945,14510,[],6.18037322106853,-0.00325189550978136,2.5363804740360067,37.9887328326021
3no_3zyou,432,363,[],10.310059955420787,-0.010384115642891406,3.333867450389381,48.61154833918727
3stan,308,441,[],4.664052625585217,-0.01142886361402127,3.3363176674972244,37.253546605381786
3x3y,596,1746,[],12.518498405026133,-0.009249646852216995,4.096267420544855,38.63648447609763
420blazeit,1028,854,[],9.55980114546447,-0.0018776496378458455,4.215209361931218,42.50091377769714
47North,674,2452,[],7.190630117957538,-0.02238888438116347,4.425618902657052,53.381930769908585
4erhyu43er,544,1075,[],9.884327597981194,-0.0018054451031512865,4.606172142165875,5.079102739462795
